Date,Value
1980-01-01,39.187
1980-02-01,39.578
1980-03-01,39.945
1980-04-01,40.15
1980-05-01,40.473
1980-06-01,40.742
1980-07-01,41.028
1980-08-01,41.325
1980-09-01,41.714
1980-10-01,42.058
1980-11-01,42.389
1980-12-01,42.644
1981-01-01,43.013
1981-02-01,43.328
1981-03-01,43.568
1981-04-01,43.847
1981-05-01,44.148
1981-06-01,44.369
1981-07-01,44.636
1981-08-01,44.936
1981-09-01,45.23
1981-10-01,45.499
1981-11-01,45.765
1981-12-01,45.934
1982-01-01,46.216
1982-02-01,46.395
1982-03-01,46.597
1982-04-01,46.781
1982-05-01,47.037
1982-06-01,47.273
1982-07-01,47.579
1982-08-01,47.798
1982-09-01,47.975
1982-10-01,48.279
1982-11-01,48.458
1982-12-01,48.612
1983-01-01,48.945
1983-02-01,49.126
1983-03-01,49.188
1983-04-01,49.337
1983-05-01,49.408
1983-06-01,49.639
1983-07-01,49.973
1983-08-01,50.231
1983-09-01,50.434
1983-10-01,50.523
1983-11-01,50.641
1983-12-01,50.679
1984-01-01,50.848
1984-02-01,51.168
1984-03-01,51.362
1984-04-01,51.604
1984-05-01,51.724
1984-06-01,51.845
1984-07-01,52.069
1984-08-01,52.241
1984-09-01,52.321
1984-10-01,52.438
1984-11-01,52.549
1984-12-01,52.757
1985-01-01,53.053
1985-02-01,53.328
1985-03-01,53.515
1985-04-01,53.579
1985-05-01,53.764
1985-06-01,53.941
1985-07-01,54.099
1985-08-01,54.364
1985-09-01,54.477
1985-10-01,54.564
1985-11-01,54.698
1985-12-01,54.847
1986-01-01,55.143
1986-02-01,55.286
1986-03-01,55.454
1986-04-01,55.554
1986-05-01,55.649
1986-06-01,55.816
1986-07-01,55.917
1986-08-01,56.032
1986-09-01,56.216
1986-10-01,56.407
1986-11-01,56.526
1986-12-01,56.599
1987-01-01,56.733
1987-02-01,56.847
1987-03-01,57.015
1987-04-01,57.257
1987-05-01,57.417
1987-06-01,57.575
1987-07-01,57.724
1987-08-01,57.918
1987-09-01,58.148
1987-10-01,58.396
1987-11-01,58.519
1987-12-01,58.642
1988-01-01,58.919
1988-02-01,59.04
1988-03-01,59.292
1988-04-01,59.581
1988-05-01,59.784
1988-06-01,60.036
1988-07-01,60.281
1988-08-01,60.43
1988-09-01,60.755
1988-10-01,60.986
1988-11-01,61.153
1988-12-01,61.356
1989-01-01,61.666
1989-02-01,61.823
1989-03-01,62.008
1989-04-01,62.215
1989-05-01,62.401
1989-06-01,62.567
1989-07-01,62.728
1989-08-01,62.816
1989-09-01,63.034
1989-10-01,63.262
1989-11-01,63.43
1989-12-01,63.611
